class,label,prediction
carcass,26.0,6.0
carcass,26.0,4.0
carcass,26.0,4.0
carcass,26.0,22.0
carcass,26.0,22.0
oat,62.0,4.0
nat-gas,21.0,5.0
nat-gas,21.0,5.0
nat-gas,21.0,46.0
nat-gas,21.0,21.0
nat-gas,21.0,2.0
nat-gas,21.0,21.0
nat-gas,21.0,42.0
nat-gas,21.0,5.0
nat-gas,21.0,1.0
nat-gas,21.0,5.0
nat-gas,21.0,46.0
rubber,37.0,37.0
rubber,37.0,37.0
rubber,37.0,37.0
rubber,37.0,37.0
rubber,37.0,37.0
groundnut,66.0,26.0
strategic-metal,50.0,1.0
strategic-metal,50.0,50.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,0.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,0.0
ship,9.0,1.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,5.0
ship,9.0,9.0
ship,9.0,9.0
ship,9.0,9.0
wpi,46.0,46.0
soy-oil,52.0,47.0
soy-oil,52.0,18.0
soy-meal,51.0,38.0
gas,35.0,9.0
gas,35.0,5.0
gas,35.0,5.0
gas,35.0,35.0
platinum,65.0,17.0
platinum,65.0,17.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,21.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,0.0
acq,1.0,1.0
acq,1.0,2.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,17.0
acq,1.0,1.0
acq,1.0,1.0
acq,1.0,1.0
